,src_metric,scope,host,time,raw_value
157,system.cpu.idle,*,*,1616690400000,91.77037003835042
158,system.cpu.idle,*,*,1616691000000,93.2838570912679
159,system.cpu.idle,*,*,1616691600000,97.11180470784505
160,system.cpu.idle,*,*,1616692200000,97.84850025177002
161,system.cpu.idle,*,*,1616692800000,95.86632378896077
162,system.cpu.idle,*,*,1616693400000,92.46725521087646
163,system.cpu.idle,*,*,1616694000000,92.12566286722819
164,system.cpu.idle,*,*,1616694600000,92.24106540679932
165,system.cpu.idle,*,*,1616695200000,92.0582674662272
166,system.cpu.idle,*,*,1616695800000,91.4309238433838
167,system.cpu.idle,*,*,1616696400000,91.48525320688883
168,system.cpu.idle,*,*,1616697000000,90.91596819559733
169,system.cpu.idle,*,*,1616697600000,89.6979352315267
170,system.cpu.idle,*,*,1616698200000,89.94538281758626
171,system.cpu.idle,*,*,1616698800000,88.02557430267333
172,system.cpu.idle,*,*,1616699400000,89.4859426498413
173,system.cpu.idle,*,*,1616700000000,87.61269499460856
174,system.cpu.idle,*,*,1616700600000,90.84483369191487
175,system.cpu.idle,*,*,1616701200000,95.18728090922038
176,system.cpu.idle,*,*,1616701800000,94.45081055959066
177,system.cpu.idle,*,*,1616702400000,93.04784196217855
178,system.cpu.idle,*,*,1616703000000,92.50519568125407
179,system.cpu.idle,*,*,1616703600000,90.1273650487264
180,system.cpu.idle,*,*,1616704200000,85.08639163970948
181,system.cpu.idle,*,*,1616704800000,87.00046380360921
182,system.cpu.idle,*,*,1616705400000,87.55185381571452
183,system.cpu.idle,*,*,1616706000000,86.21532122294109
184,system.cpu.idle,*,*,1616706600000,87.78949654897055
185,system.cpu.idle,*,*,1616707200000,88.08908704121907
186,system.cpu.idle,*,*,1616707800000,92.48037465413411
187,system.cpu.idle,*,*,1616708400000,92.26505107879639
188,system.cpu.idle,*,*,1616709000000,92.39302825927734
189,system.cpu.idle,*,*,1616709600000,92.85143686930338
190,system.cpu.idle,*,*,1616710200000,95.02532668575164
191,system.cpu.idle,*,*,1616710800000,94.82476435622124
192,system.cpu.idle,*,*,1616711400000,93.52835559029864
193,system.cpu.idle,*,*,1616712000000,94.1496389504247
194,system.cpu.idle,*,*,1616712600000,94.79887083041594
195,system.cpu.idle,*,*,1616713200000,93.48104451497396
196,system.cpu.idle,*,*,1616713800000,93.75615304311117
197,system.cpu.idle,*,*,1616714400000,93.51577733357747
198,system.cpu.idle,*,*,1616715000000,93.59102850445247
199,system.cpu.idle,*,*,1616715600000,93.68153330485026
200,system.cpu.idle,*,*,1616716200000,93.78043142954509
201,system.cpu.idle,*,*,1616716800000,98.04006652832031
202,system.cpu.idle,*,*,1616717400000,99.13792476654052
203,system.cpu.idle,*,*,1616718000000,99.3002243677775
204,system.cpu.idle,*,*,1616718600000,99.33293800354004
205,system.cpu.idle,*,*,1616719200000,99.26918932596843
206,system.cpu.idle,*,*,1616719800000,99.15999126434326
207,system.cpu.idle,*,*,1616720400000,99.29152139027913
208,system.cpu.idle,*,*,1616721000000,98.8453571955363
209,system.cpu.idle,*,*,1616721600000,99.22642402648925
210,system.cpu.idle,*,*,1616722200000,98.28737360636393
211,system.cpu.idle,*,*,1616722800000,98.81811008453369
212,system.cpu.idle,*,*,1616723400000,98.71662743886311
213,system.cpu.idle,*,*,1616724000000,98.01230576833089
